"","year","northsouthdistancekm","eastwestdistancekm","areakm2","northsouthdistancemile","eastwestdistancemile","areami2"
"1",1934,0,0,0,0,0,0
"2",1935,0,0,0,0,0,0
"3",1936,51.9491328100243,167.862214034498,2585.84189910018,32.2796846032976,104.30471179683,998.398728926378
"4",1937,776.453448283083,930.458539926899,60756.0796443003,482.465655613108,578.159953412917,23458.0438628236
"5",1938,787.58539736241,969.229303816785,69370.4641648782,489.382725944478,602.25098174194,26784.0749549878
"6",1939,787.58539736241,969.229303816785,71421.3236223824,489.382725944478,602.25098174194,27575.9158932491
"7",1940,799.644971758519,1002.4628551914,112108.556535029,496.876195746563,622.901346793136,43285.3378952876
"8",1941,799.644971758519,1002.4628551914,112103.30670571,496.876195746563,622.901346793136,43283.3109256879
"9",1942,799.644971758519,1002.4628551914,112095.390818207,496.876195746563,622.901346793136,43280.2545856912
"10",1943,844.172768075829,1004.30924051551,115079.852173607,524.544477072046,624.048637088362,44432.561083934
"11",1944,844.172768075829,1077.55114077391,163994.121572844,524.544477072046,669.559029893825,63318.4583275184
"12",1945,857.160079108207,1104.01837590286,166820.592082074,532.614415515546,686.005002253137,64409.764244073
"13",1946,857.160079108207,1104.01837590286,171489.738768736,532.614415515546,686.005002253137,66212.5311180867
"14",1947,873.8580027272,1126.1776645692,173224.267487157,542.990021012603,699.774141611027,66882.2361253262
"15",1948,885.917577123307,1218.51477677954,181098.020083559,550.483490814686,757.149745362281,69922.3077503024
"16",1949,885.917577123307,1221.28506171696,181295.38225774,550.483490814686,758.871120084132,69998.509680478
"17",1950,977.756157027757,1222.67020793631,242715.927816859,607.549321048495,759.73180977559,93713.105161945
"18",1951,977.756157027757,1226.82566160602,242752.006563582,607.549321048495,762.313888177793,93727.0352382121
"19",1952,977.756157027757,1226.82566160602,243916.530884695,607.549321048495,762.313888177793,94176.6604076425
"20",1953,977.756157027757,1250.34129496968,251417.220794296,607.549321048495,776.925820796602,97072.6917831193
"21",1954,993.06258701183,1282.66229790107,259196.282256533,617.060292754128,797.009154709084,100076.202971812
"22",1955,993.06258701183,1282.66229790107,302208.064613875,617.060292754128,797.009154709084,116683.138163546
"23",1956,993.06258701183,1378.56427013163,327822.120294941,617.060292754128,856.599859095961,126572.776290117
"24",1957,993.06258701183,1378.56427013163,427028.502913201,617.060292754128,856.599859095961,164876.559031793
"25",1958,993.06258701183,1378.56427013163,433671.728118993,617.060292754128,856.599859095961,167441.521570199
"26",1959,993.06258701183,1378.56427013163,433670.306327637,617.060292754128,856.599859095961,167440.972613713
"27",1960,1423.96185683712,1378.56427013163,749830.455017153,884.808602944739,856.599859095961,289511.038343033
"28",1961,1423.96185683712,1378.56427013163,749828.933873666,884.808602944739,856.599859095961,289510.45102649
"29",1962,1426.74484410695,1753.77494264048,1079245.71290286,886.537870527581,1089.74488988346,416698.92824322
"30",1963,1426.74484410695,1753.77494264048,1079252.94744549,886.537870527581,1089.74488988346,416701.721514598
"31",1964,1426.74484410695,1753.77494264048,1079284.93540314,886.537870527581,1089.74488988346,416714.072129022
"32",1965,1426.74484410695,1753.77494264048,1079261.40914104,886.537870527581,1089.74488988346,416704.988592176
"33",1966,1426.74484410695,1753.77494264048,1079249.42221435,886.537870527581,1089.74488988346,416700.360415805
"34",1967,1426.74484410695,1753.77494264048,1166687.5873562,886.537870527581,1089.74488988346,450460.410853405
"35",1968,1426.74484410695,1753.77494264048,1178536.88526733,886.537870527581,1089.74488988346,455035.448475487
"36",1969,1439.73204381984,1753.77494264048,1186432.76438325,894.607739800379,1089.74488988346,458084.063193901
"37",1970,1439.73204381984,1753.77494264048,1223278.48534618,894.607739800379,1089.74488988346,472310.269749131
"38",1971,1439.73204381984,2284.79950035865,1403036.30297812,894.607739800379,1419.70815033736,541715.122652457
"39",1972,1443.44276772595,2284.79950035865,1405897.72556084,896.913476024638,1419.70815033736,542819.92363449
"40",1973,1454.451040851,2284.79950035865,1425480.21327654,903.753697704626,1419.70815033736,550380.761306498
"41",1974,2530.70023430384,2284.79950035865,2223228.05886834,1572.50373528961,1419.70815033736,858392.799985185
"42",1975,2530.70023430384,2284.79950035865,3441389.62824439,1572.50373528961,1419.70815033736,1328727.41824442
"43",1976,2534.41084689046,2284.79950035865,3443038.05106115,1574.80940234317,1419.70815033736,1329363.87759081
"44",1977,2534.41084689046,2284.79950035865,3443031.91945115,1574.80940234317,1419.70815033736,1329361.51016393
"45",1978,2534.41084689046,2284.79950035865,3443025.30585207,1574.80940234317,1419.70815033736,1329358.95664009
"46",1979,2534.41084689046,2284.79950035865,3443047.82077864,1574.80940234317,1419.70815033736,1329367.64969828
"47",1980,2538.50829470758,2820.70782752013,4080158.14236748,1577.35543759074,1752.70604349401,1575357.21908437
"48",1981,2538.50829470758,2820.70782752013,4080117.21628032,1577.35543759074,1752.70604349401,1575341.41744026
"49",1982,2538.50829470758,2820.70782752013,4080191.88366368,1577.35543759074,1752.70604349401,1575370.24666632
"50",1983,2538.50829470758,2820.70782752013,4080142.71986154,1577.35543759074,1752.70604349401,1575351.26442398
"51",1984,2538.50829470758,2820.70782752013,4080269.10509991,1577.35543759074,1752.70604349401,1575400.06201728
"52",1985,2538.50829470758,2820.70782752013,4080293.94642153,1577.35543759074,1752.70604349401,1575409.65330124
"53",1986,2538.50829470758,2820.70782752013,4080307.01728625,1577.35543759074,1752.70604349401,1575414.69998826
"54",1987,2538.50829470758,2820.70782752013,4087512.00874988,1577.35543759074,1752.70604349401,1578196.56160235
"55",1988,2538.50829470758,2820.70782752013,4087850.90972822,1577.35543759074,1752.70604349401,1578327.41194789
"56",1989,2538.50829470758,2820.70782752013,4439644.6171288,1577.35543759074,1752.70604349401,1714155.66596266
"57",1990,2538.50829470758,3070.60648516246,4566757.06887293,1577.35543759074,1907.98582229188,1763234.03780598
