"","year","northsouthdistancekm","eastwestdistancekm","areakm2","northsouthdistancemile","eastwestdistancemile","areami2"
"1",1956,0,0,0,0,0,0
"2",1957,0,0,0,0,0,0
"3",1958,0,0,0,0,0,0
"4",1959,0,0,0,0,0,0
"5",1960,0,0,0,0,0,0
"6",1961,3.70326550021873,3.82626602137406,0,2.30110178713641,2.37753074396722,0
"7",1962,3.70326550021873,3.82626602137406,0,2.30110178713641,2.37753074396722,0
"8",1963,6.59011385496048,26.3114599123248,80.6428089214981,4.09490563617065,16.3491781571812,31.1363498102082
"9",1964,36.7354319617808,26.3114599123248,439.291571451179,22.8263320935237,16.3491781571812,169.611354320443
"10",1965,47.4359066947933,35.1093188834422,603.898078935329,29.4752967788504,21.8159125839233,233.166256073088
"11",1966,47.4359066947933,36.1839159598588,628.727943002397,29.4752967788504,22.4836360438934,242.753116249112
"12",1967,47.4359066947933,36.1839159598588,628.772946698661,29.4752967788504,22.4836360438934,242.770492266247
"13",1968,47.4359066947933,36.1839159598588,658.312085790113,29.4752967788504,22.4836360438934,254.175612947734
"14",1969,177.790362496771,174.276907082825,5930.74295149521,110.473775334981,108.290616030962,2289.8717150582
"15",1970,177.790362496771,174.276907082825,5929.64487451081,110.473775334981,108.290616030962,2289.44774533837
"16",1971,177.790362496771,174.276907082825,5931.46401866696,110.473775334981,108.290616030962,2290.15012053535
"17",1972,181.518452243438,175.897421729545,6120.38536421533,112.790302188957,109.297556837509,2363.09302989427
"18",1973,181.518452243438,175.897421729545,6120.86923322308,112.790302188957,109.297556837509,2363.2798526859
"19",1974,181.518452243438,175.897421729545,6119.43265396034,112.790302188957,109.297556837509,2362.7251865594
"20",1975,181.518452243438,175.897421729545,6122.85852542315,112.790302188957,109.297556837509,2364.04792238293
"21",1976,181.518452243438,175.897421729545,6120.55181216307,112.790302188957,109.297556837509,2363.15729577978
"22",1977,185.899542123098,231.881931769374,8102.90618943826,115.512584388571,144.084707825468,3128.54828555449
